id,complexity,problem_class,key_size,n_with,key_recall_with,key_hits_with,catalog_hits_with,unknown_components_with,recipes_cited_with,has_evidence_label_with,has_availability_with,has_compute_with,tool_calls_with,permission_denials_with,cost_usd_with,num_turns_with,words_with,key_recall_spread_with,n_without,key_recall_without,key_hits_without,catalog_hits_without,unknown_components_without,recipes_cited_without,has_evidence_label_without,has_availability_without,has_compute_without,tool_calls_without,permission_denials_without,cost_usd_without,num_turns_without,words_without,key_recall_spread_without,compose_fired,recall_delta
estimate-pk-properties,Multi-tool harness,Knowledge synthesis,3,3,0.889,2.667,7.0,0.0,1.333,1.0,1.0,1.0,27.0,2.667,1.466,29.0,1493.667,0.333,3,0.111,0.333,4.333,0.0,0.333,0.667,0.0,0.0,7.0,1.333,0.363,8.0,1004.333,0.333,1.0,0.778
scan-drug-repurposing-candidates,Multi-tool harness,Knowledge synthesis,5,3,0.4,2.0,4.667,0.0,0.667,0.333,0.333,0.333,41.333,0.0,2.224,16.0,1417.333,0.6,3,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,25.667,0.0,1.452,11.0,1441.667,0.0,0.333,0.4
draft-phase23-clinical-trial-protocol,One skill or MCP,Manuscript prep,2,3,0.0,0.0,2.0,0.0,2.333,0.0,0.0,0.0,4.0,1.333,0.462,5.0,1756.0,0.0,3,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,2.667,0.638,7.0,1867.333,0.0,0.0,0.0
build-target-dossier,Multi-tool harness,Knowledge synthesis,5,3,0.733,3.667,5.333,0.0,1.0,0.333,0.0,0.333,18.333,0.0,0.943,20.0,922.333,0.2,3,0.6,3.0,5.0,0.0,0.0,0.0,0.0,0.667,25.0,0.0,1.04,11.667,822.667,0.0,0.667,0.133
map-disease-to-genes-and-pathways,Multi-tool harness,Knowledge synthesis,3,3,0.667,2.0,6.667,0.0,1.667,1.0,1.0,1.0,15.667,4.0,0.854,17.667,1284.0,0.0,3,0.333,1.0,7.667,0.0,0.0,0.0,0.0,0.0,4.0,2.667,0.305,5.0,869.0,0.0,1.0,0.334
extract-structured-data-from-clinical-notes,Claude Code alone,Data analysis,1,3,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,14.0,5.333,0.87,16.0,2083.667,0.0,3,0.0,0.0,1.333,0.0,1.333,0.0,0.0,0.0,3.333,4.0,0.38,4.333,1799.333,0.0,1.0,0.0
benchmark-admet-property-with-pytdc,One skill or MCP,Data analysis,3,3,0.333,1.0,3.333,0.0,1.0,1.0,1.0,1.0,26.333,8.0,1.022,28.333,714.333,0.0,3,0.333,1.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,5.333,0.479,18.0,491.667,0.0,1.0,0.0
identify-bacterial-isolate-from-16s-sequence,One skill or MCP,Data analysis,1,3,1.0,1.0,3.0,0.0,0.667,0.667,0.333,0.667,20.333,8.0,1.152,22.0,1543.333,0.0,3,1.0,1.0,2.333,0.0,1.0,0.0,0.0,0.0,2.0,1.333,0.252,3.0,1144.333,0.0,0.667,0.0
design-crispr-sgrnas-for-a-gene-knockout,One skill or MCP,Experimental design,1,3,1.0,1.0,2.333,0.333,1.333,1.0,1.0,1.0,28.0,2.667,1.857,30.0,984.0,0.0,3,0.0,0.0,3.0,0.0,0.0,0.333,0.0,0.0,10.667,0.0,0.63,11.667,1127.333,0.0,1.0,1.0
find-selective-cancer-dependencies-with-depmap,One skill or MCP,Hypothesis generation,1,3,1.0,1.0,2.667,0.0,0.667,0.667,0.667,1.0,10.333,2.667,0.668,12.333,1442.0,0.0,3,1.0,1.0,4.333,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.185,1.667,1142.0,0.0,1.0,0.0
