id,arm,rep,status,complexity,problem_class,key_size,key_hits,key_recall,catalog_hits,unknown_components,recipes_cited,systems_cited,has_evidence_label,has_availability,has_compute,used_compose_skill,tool_calls,permission_denials,cost_usd,num_turns,wall_s,words,_key_hit_slugs,_unknown
estimate-pk-properties,with,1,ok,Multi-tool harness,Knowledge synthesis,3,2,0.667,6,0,1,0,1,1,1,1,26,4,1.3843621499999998,28,409.1,1666,chembl;medchem,
estimate-pk-properties,with,2,ok,Multi-tool harness,Knowledge synthesis,3,3,1.0,7,0,2,0,1,1,1,1,26,4,1.3831468999999996,28,358.0,1724,chembl;medchem;rdkit-skill,
estimate-pk-properties,with,3,ok,Multi-tool harness,Knowledge synthesis,3,3,1.0,8,0,1,0,1,1,1,1,29,0,1.6318152999999995,31,373.2,1091,chembl;medchem;rdkit-skill,
estimate-pk-properties,without,1,ok,Multi-tool harness,Knowledge synthesis,3,0,0.0,4,0,1,0,0,0,0,0,12,0,0.5837750000000002,13,183.3,1214,,
estimate-pk-properties,without,2,ok,Multi-tool harness,Knowledge synthesis,3,0,0.0,3,0,0,0,1,0,0,0,6,4,0.2568768,7,92.8,743,,
estimate-pk-properties,without,3,ok,Multi-tool harness,Knowledge synthesis,3,1,0.333,6,0,0,0,1,0,0,0,3,0,0.2481643,4,114.2,1056,chembl,
scan-drug-repurposing-candidates,with,1,ok,Multi-tool harness,Knowledge synthesis,5,1,0.2,3,0,0,0,0,0,0,0,48,0,2.71386905,4,311.8,1235,open-targets,
scan-drug-repurposing-candidates,with,2,ok,Multi-tool harness,Knowledge synthesis,5,1,0.2,2,0,0,0,0,0,0,0,24,0,1.3211990999999998,25,235.7,1728,pubmed,
scan-drug-repurposing-candidates,with,3,ok,Multi-tool harness,Knowledge synthesis,5,4,0.8,9,0,2,0,1,1,1,1,52,0,2.637543,19,479.4,1289,chembl;drugbank;open-targets;pubmed,
scan-drug-repurposing-candidates,without,1,ok,Multi-tool harness,Knowledge synthesis,5,0,0.0,1,0,0,0,0,0,0,0,50,0,2.679017149999999,4,255.1,1374,,
scan-drug-repurposing-candidates,without,2,ok,Multi-tool harness,Knowledge synthesis,5,0,0.0,0,0,0,0,0,0,0,0,11,0,0.7570212499999999,12,190.8,1481,,
scan-drug-repurposing-candidates,without,3,ok,Multi-tool harness,Knowledge synthesis,5,0,0.0,0,0,0,0,0,0,0,0,16,0,0.92103775,17,172.2,1470,,
draft-phase23-clinical-trial-protocol,with,1,ok,One skill or MCP,Manuscript prep,2,0,0.0,2,0,3,0,0,0,0,0,3,0,0.4227177,4,198.2,1991,,
draft-phase23-clinical-trial-protocol,with,2,ok,One skill or MCP,Manuscript prep,2,0,0.0,3,0,0,0,0,0,0,0,7,0,0.59267815,8,203.9,2203,,
draft-phase23-clinical-trial-protocol,with,3,ok,One skill or MCP,Manuscript prep,2,0,0.0,1,0,4,0,0,0,0,0,2,4,0.3694879999999999,3,193.2,1074,,
draft-phase23-clinical-trial-protocol,without,1,ok,One skill or MCP,Manuscript prep,2,0,0.0,1,0,0,0,0,0,0,0,7,4,0.8467843499999999,8,277.3,1545,,
draft-phase23-clinical-trial-protocol,without,2,ok,One skill or MCP,Manuscript prep,2,0,0.0,4,0,3,0,0,0,0,0,9,4,0.7590739999999999,10,281.3,2023,,
draft-phase23-clinical-trial-protocol,without,3,ok,One skill or MCP,Manuscript prep,2,0,0.0,4,0,0,0,0,0,0,0,2,0,0.3085749,3,134.8,2034,,
build-target-dossier,with,1,ok,Multi-tool harness,Knowledge synthesis,5,3,0.6,3,0,0,0,1,0,0,1,22,0,1.0811031,24,238.5,837,alphafold;depmap;uniprot,
build-target-dossier,with,2,ok,Multi-tool harness,Knowledge synthesis,5,4,0.8,8,0,3,0,0,0,1,1,20,0,1.0510332,22,225.0,913,alphafold;depmap;open-targets;uniprot,
build-target-dossier,with,3,ok,Multi-tool harness,Knowledge synthesis,5,4,0.8,5,0,0,0,0,0,0,0,13,0,0.69659225,14,185.6,1017,alphafold;depmap;open-targets;uniprot,
build-target-dossier,without,1,ok,Multi-tool harness,Knowledge synthesis,5,3,0.6,6,0,0,1,0,0,0,0,15,0,0.6532459,16,130.2,907,alphafold;depmap;uniprot,
build-target-dossier,without,2,ok,Multi-tool harness,Knowledge synthesis,5,3,0.6,6,0,0,0,0,0,1,0,47,0,1.9009521499999997,5,233.4,598,alphafold;depmap;uniprot,
build-target-dossier,without,3,ok,Multi-tool harness,Knowledge synthesis,5,3,0.6,3,0,0,0,0,0,1,0,13,0,0.5657218500000001,14,104.9,963,alphafold;depmap;uniprot,
map-disease-to-genes-and-pathways,with,1,ok,Multi-tool harness,Knowledge synthesis,3,2,0.667,7,0,1,1,1,1,1,1,14,4,0.87877745,16,254.9,1600,gget;open-targets,
map-disease-to-genes-and-pathways,with,2,ok,Multi-tool harness,Knowledge synthesis,3,2,0.667,6,0,3,0,1,1,1,1,13,4,0.7391994,15,186.4,1095,gget;open-targets,
map-disease-to-genes-and-pathways,with,3,ok,Multi-tool harness,Knowledge synthesis,3,2,0.667,7,0,1,0,1,1,1,1,20,4,0.9442775000000001,22,192.3,1157,gget;open-targets,
map-disease-to-genes-and-pathways,without,1,ok,Multi-tool harness,Knowledge synthesis,3,1,0.333,8,0,0,0,0,0,0,0,7,4,0.3872666,8,141.1,967,open-targets,
map-disease-to-genes-and-pathways,without,2,ok,Multi-tool harness,Knowledge synthesis,3,1,0.333,5,0,0,0,0,0,0,0,3,4,0.30577025,4,122.0,920,open-targets,
map-disease-to-genes-and-pathways,without,3,ok,Multi-tool harness,Knowledge synthesis,3,1,0.333,10,0,0,1,0,0,0,0,2,0,0.2227975,3,67.1,720,open-targets,
extract-structured-data-from-clinical-notes,with,1,ok,Claude Code alone,Data analysis,1,0,0.0,2,0,2,0,1,1,1,1,18,8,1.0740589999999999,20,306.3,2355,,
extract-structured-data-from-clinical-notes,with,2,ok,Claude Code alone,Data analysis,1,0,0.0,3,0,1,0,1,1,1,1,13,4,0.7730983,15,217.6,1937,,
extract-structured-data-from-clinical-notes,with,3,ok,Claude Code alone,Data analysis,1,0,0.0,4,0,3,0,1,1,1,1,11,4,0.7639471,13,236.8,1959,,
extract-structured-data-from-clinical-notes,without,1,ok,Claude Code alone,Data analysis,1,0,0.0,2,0,0,0,0,0,0,0,7,8,0.49270679999999994,8,203.0,1988,,
extract-structured-data-from-clinical-notes,without,2,ok,Claude Code alone,Data analysis,1,0,0.0,1,0,0,0,0,0,0,0,2,4,0.46721055,3,199.0,2020,,
extract-structured-data-from-clinical-notes,without,3,ok,Claude Code alone,Data analysis,1,0,0.0,1,0,4,0,0,0,0,0,1,0,0.18079965,2,85.6,1390,,
benchmark-admet-property-with-pytdc,with,1,ok,One skill or MCP,Data analysis,3,1,0.333,3,0,1,0,1,1,1,1,28,4,1.1863022999999997,30,222.8,716,pytdc,
benchmark-admet-property-with-pytdc,with,2,ok,One skill or MCP,Data analysis,3,1,0.333,3,0,1,0,1,1,1,1,24,12,0.9922356499999999,26,188.7,708,pytdc,
benchmark-admet-property-with-pytdc,with,3,ok,One skill or MCP,Data analysis,3,1,0.333,4,0,1,0,1,1,1,1,27,8,0.8864376499999999,29,206.9,719,pytdc,
benchmark-admet-property-with-pytdc,without,1,ok,One skill or MCP,Data analysis,3,1,0.333,3,0,0,0,0,0,0,0,24,8,0.587935,25,151.4,457,pytdc,
benchmark-admet-property-with-pytdc,without,2,ok,One skill or MCP,Data analysis,3,1,0.333,3,0,0,0,0,0,0,0,12,0,0.3059017,13,97.6,446,pytdc,
benchmark-admet-property-with-pytdc,without,3,ok,One skill or MCP,Data analysis,3,1,0.333,3,0,0,0,0,0,0,0,15,8,0.54409765,16,157.8,572,pytdc,
identify-bacterial-isolate-from-16s-sequence,with,1,ok,One skill or MCP,Data analysis,1,1,1.0,4,0,1,0,0,0,1,1,27,8,1.3618519999999998,29,364.2,1471,blast,
identify-bacterial-isolate-from-16s-sequence,with,2,ok,One skill or MCP,Data analysis,1,1,1.0,1,0,0,0,1,0,0,0,2,4,0.32530975,3,166.9,784,blast,
identify-bacterial-isolate-from-16s-sequence,with,3,ok,One skill or MCP,Data analysis,1,1,1.0,4,0,1,0,1,1,1,1,32,12,1.7683897999999998,34,552.2,2375,blast,
identify-bacterial-isolate-from-16s-sequence,without,1,ok,One skill or MCP,Data analysis,1,1,1.0,2,0,0,0,0,0,0,0,2,0,0.23952415,3,109.3,1228,blast,
identify-bacterial-isolate-from-16s-sequence,without,2,ok,One skill or MCP,Data analysis,1,1,1.0,2,0,3,0,0,0,0,0,1,0,0.18194934999999998,2,89.3,1130,blast,
identify-bacterial-isolate-from-16s-sequence,without,3,ok,One skill or MCP,Data analysis,1,1,1.0,3,0,0,0,0,0,0,0,3,4,0.3345358,4,160.6,1075,blast,
